,source,target,delta,month
0,1228208,1228209,"{'4': 0, '2': 0}",3
1,1228208,1228209,"{'4': 0, '2': 0}",4
2,1228208,1228209,"{'4': 0, '2': 0}",5
3,1228208,1228209,"{'4': 0, '2': 0}",6
4,1228208,1228217,"{'4': 0, '2': 0}",3
5,1228208,1228217,"{'4': 0, '2': 0}",4
6,1228208,1228217,"{'4': 0, '2': 0}",5
7,1228208,1228217,"{'4': 0, '2': 0}",6
8,1228208,1228221,"{'4': 0, '2': 0}",3
9,1228208,1228221,"{'4': 0, '2': 0}",4
10,1228208,1228221,"{'4': 0, '2': 0}",5
11,1228208,1228221,"{'4': 0, '2': 0}",6
12,1228208,1228229,"{'4': 0, '2': 0}",3
13,1228208,1228229,"{'4': 0, '2': 0}",4
14,1228208,1228229,"{'4': 0, '2': 0}",5
15,1228208,1228229,"{'4': 0, '2': 0}",6
16,1228209,1228210,"{'4': 0, '2': 0}",1
17,1228209,1228210,"{'4': 0, '2': 0}",2
18,1228209,1228210,"{'4': 0, '2': 0}",11
19,1228209,1228210,"{'4': 0, '2': 0}",12
20,1228209,1228212,"{'4': 0, '2': 0}",1
21,1228209,1228212,"{'4': 0, '2': 0}",2
22,1228209,1228212,"{'4': 0, '2': 0}",3
23,1228209,1228212,"{'4': 0, '2': 0}",4
24,1228209,1228212,"{'4': 0, '2': 0}",5
25,1228209,1228212,"{'4': 0, '2': 0}",6
26,1228209,1228212,"{'4': 0, '2': 0}",7
27,1228209,1228212,"{'4': 0, '2': 0}",8
28,1228209,1228212,"{'4': 0, '2': 0}",9
29,1228209,1228212,"{'4': 0, '2': 0}",10
30,1228209,1228212,"{'4': 0, '2': 0}",11
31,1228209,1228212,"{'4': 0, '2': 0}",12
32,1228209,1228213,"{'4': 0, '2': 0}",1
33,1228209,1228213,"{'4': 0, '2': 0}",2
34,1228209,1228213,"{'4': 0, '2': 0}",3
35,1228209,1228213,"{'4': 0, '2': 0}",4
36,1228209,1228213,"{'4': 0, '2': 0}",5
37,1228209,1228213,"{'4': 0, '2': 0}",6
38,1228209,1228213,"{'4': 0, '2': 0}",7
39,1228209,1228213,"{'4': 0, '2': 0}",8
40,1228209,1228213,"{'4': 0, '2': 0}",9
41,1228209,1228213,"{'4': 0, '2': 0}",10
42,1228209,1228213,"{'4': 0, '2': 0}",11
43,1228209,1228213,"{'4': 0, '2': 0}",12
44,1228209,1228214,"{'4': 0, '2': 0}",1
45,1228209,1228214,"{'4': 0, '2': 0}",2
46,1228209,1228214,"{'4': 0, '2': 0}",3
47,1228209,1228214,"{'4': 0, '2': 0}",4
48,1228209,1228214,"{'4': 0, '2': 0}",5
49,1228209,1228214,"{'4': 0, '2': 0}",6
50,1228209,1228214,"{'4': 0, '2': 0}",7
51,1228209,1228214,"{'4': 0, '2': 0}",8
52,1228209,1228214,"{'4': 0, '2': 0}",9
53,1228209,1228214,"{'4': 0, '2': 0}",10
54,1228209,1228214,"{'4': 0, '2': 0}",11
55,1228209,1228214,"{'4': 0, '2': 0}",12
