,source,target,delta,month
0,1228208,1228209,"{'4': 0, '2': 0}",3
1,1228208,1228209,"{'4': 0, '2': 0}",4
2,1228208,1228209,"{'4': 0, '2': 0}",5
3,1228208,1228209,"{'4': 0, '2': 0}",6
4,1228208,1228209,"{'4': 0, '2': 0}",15
5,1228208,1228209,"{'4': 0, '2': 0}",16
6,1228208,1228209,"{'4': 0, '2': 0}",17
7,1228208,1228209,"{'4': 0, '2': 0}",18
8,1228208,1228217,"{'4': 0, '2': 0}",3
9,1228208,1228217,"{'4': 0, '2': 0}",4
10,1228208,1228217,"{'4': 0, '2': 0}",5
11,1228208,1228217,"{'4': 0, '2': 0}",6
12,1228208,1228217,"{'4': 0, '2': 0}",15
13,1228208,1228217,"{'4': 0, '2': 0}",16
14,1228208,1228217,"{'4': 0, '2': 0}",17
15,1228208,1228217,"{'4': 0, '2': 0}",18
16,1228209,1228210,"{'4': 0, '2': 0}",1
17,1228209,1228210,"{'4': 0, '2': 0}",2
18,1228209,1228210,"{'4': 0, '2': 0}",11
19,1228209,1228210,"{'4': 0, '2': 0}",12
20,1228209,1228210,"{'4': 0, '2': 0}",13
21,1228209,1228210,"{'4': 0, '2': 0}",14
22,1228209,1228210,"{'4': 0, '2': 0}",23
23,1228209,1228210,"{'4': 0, '2': 0}",24
24,1228209,1228212,"{'4': 0, '2': 0}",1
25,1228209,1228212,"{'4': 0, '2': 0}",2
26,1228209,1228212,"{'4': 0, '2': 0}",3
27,1228209,1228212,"{'4': 0, '2': 0}",4
28,1228209,1228212,"{'4': 0, '2': 0}",5
29,1228209,1228212,"{'4': 0, '2': 0}",6
30,1228209,1228212,"{'4': 0, '2': 0}",7
31,1228209,1228212,"{'4': 0, '2': 0}",8
32,1228209,1228212,"{'4': 0, '2': 0}",9
33,1228209,1228212,"{'4': 0, '2': 0}",10
34,1228209,1228212,"{'4': 0, '2': 0}",11
35,1228209,1228212,"{'4': 0, '2': 0}",12
36,1228209,1228212,"{'4': 0, '2': 0}",13
37,1228209,1228212,"{'4': 0, '2': 0}",14
38,1228209,1228212,"{'4': 0, '2': 0}",15
39,1228209,1228212,"{'4': 0, '2': 0}",16
40,1228209,1228212,"{'4': 0, '2': 0}",17
41,1228209,1228212,"{'4': 0, '2': 0}",18
42,1228209,1228212,"{'4': 0, '2': 0}",19
43,1228209,1228212,"{'4': 0, '2': 0}",20
44,1228209,1228212,"{'4': 0, '2': 0}",21
45,1228209,1228212,"{'4': 0, '2': 0}",22
46,1228209,1228212,"{'4': 0, '2': 0}",23
47,1228209,1228212,"{'4': 0, '2': 0}",24
48,1228209,1228213,"{'4': 0, '2': 0}",1
49,1228209,1228213,"{'4': 0, '2': 0}",2
50,1228209,1228213,"{'4': 0, '2': 0}",3
51,1228209,1228213,"{'4': 0, '2': 0}",4
52,1228209,1228213,"{'4': 0, '2': 0}",5
53,1228209,1228213,"{'4': 0, '2': 0}",6
54,1228209,1228213,"{'4': 0, '2': 0}",7
55,1228209,1228213,"{'4': 0, '2': 0}",8
